# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 4   Direction: Wzgórza Krzesławickie   Stops amount: 34   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Bronowice Małe 01;Bronowice Małe;Wzgórza Krzesławickie;;0
2;Bronowice SKA 02;Bronowice SKA;;;1
3;Wesele 02;Wesele;;;3
4;Bronowice 02;Bronowice;;;4
5;Głowackiego 02;Głowackiego;;;6
6;UKEN 02;UKEN;;;7
7;Biprostal 02;Biprostal;;;8
8;Urzędnicza 02;Urzędnicza;;;9
9;Plac Inwalidów 02;Plac Inwalidów;;;11
10;Stefana Batorego 02;Stefana Batorego;;;12
11;Teatr Bagatela 03;Teatr Bagatela;;;14
12;Stary Kleparz 02;Stary Kleparz;;;16
13;Teatr Słowackiego 02;Teatr Słowackiego;;;18
14;Lubicz 02;Lubicz;;;20
15;Rondo Mogilskie 02;Rondo Mogilskie;;;22
16;Cystersów 01;Cystersów;;;23
17;Białucha 01;Białucha;;;25
18;TAURON Arena Kraków Wieczysta 01;TAURON Arena Kraków Wieczysta;;;27
19;Muzeum Lotnictwa Polskiego 01;Muzeum Lotnictwa Polskiego;;;28
20;AKF / PK 01;AKF PK;;;29
21;Stella-Sawickiego 01;Stella-Sawickiego;;;31
22;Czyżyny 01;Czyżyny;;;32
23;Rondo Czyżyńskie 01;Rondo Czyżyńskie;;;35
24;Os. Kolorowe 01;Os. Kolorowe;;;36
25;Plac Centralny im. R.Reagana 03;Plac Centralny im. R.Reagana;;;39
26;Struga 01;Struga;;;40
27;Zalew Nowohucki 01;Zalew Nowohucki;;;41
28;Kombinat 01;Kombinat;;;43
29;Zajezdnia Nowa Huta 02;Zajezdnia Nowa Huta;;;45
30;Elektromontaż (NŻ) 02;Elektromontaż;;;46
31;Grodzki Urząd Pracy 02;Grodzki Urząd Pracy;;;47
32;Darwina 01;Darwina;;;49
33;Jarzębiny 01;Jarzębiny;;;50
34;Wzgórza Krzesławickie 91;Wzgórza Krzesławickie;;koniec_trasy;52
# Generated at 2026-04-22 17:49
